"Plot_code","Species","Cover_pct","Height_wtavg_m"
"Mystic_BearpawBay_2_3_long_3","MARE",1.04,0.148076923076923
"Mystic_BearpawBay_2_3_long_3","VAME",0.04,0.1
"Mystic_BearpawBay_2_3_long_3","VASC",12.96,0.203240740740741
"Mystic_BearpawBay_2_3_short_0","MARE",0.32,0.1
"Mystic_BearpawBay_2_3_short_0","VASC",0.28,0.1
"NFork_Cygnet_1_1_long_3","VASC",1.04,0.1
"NFork_Cygnet_1_1_short_0","VASC",16.52,0.1
"NFork_Cygnet_2_2_long_2","VASC",0.44,0.163636363636364
"NFork_Cygnet_2_2_short_0","VASC",9,0.108888888888889
"NFork_Maple_4_4_long_1","SPBE",2.96,0.213783783783784
"NFork_Maple_4_4_long_1","VASC",0.28,0.1
"NFork_Maple_4_4_short_0","RIVI",0.12,NA
"NFork_Maple_4_4_short_0","SPBE",1.32,0.205757575757576
"NFork_Maple_4_4_short_0","VASC",0.44,0.1
"NFork_Maple_6_6_long_1","RIVI",1.04,0.282692307692308
"NFork_Maple_6_6_long_1","SPBE",1.52,0.235263157894737
"NFork_Maple_6_6_short_0","CEVE",0.08,0.1
"NFork_Maple_6_6_short_0","SPBE",0.12,0.2
"NFork_Owl_2_1_long_1","LOUT",0.08,0.2
"NFork_Owl_2_1_long_1","MARE",0.84,0.1
"NFork_Owl_2_1_long_1","SHCA",2.4,1
"NFork_Owl_2_1_long_1","SPBE",2.6,0.154923076923077
"NFork_Owl_2_1_long_1","VAME",2.76,0.231884057971014
"NFork_Owl_2_1_long_1","VASC",2.4,0.118333333333333
"NFork_Owl_2_1_short_0","MARE",0.2,0.1
"NFork_Owl_2_1_short_0","PAMY",0.04,NA
"NFork_Owl_2_1_short_0","SPBE",3.2,0.13
"NFork_Owl_2_1_short_0","VAME",0.72,0.1
"NFork_Owl_2_1_short_0","VASC",1.04,0.1
"Pelican_LeHardy_1_5_long_1","MARE",0.04,0.1
"Pelican_LeHardy_1_5_long_1","SPBE",1.08,0.1
"Pelican_LeHardy_1_5_long_1","VASC",2.8,0.1
"Pelican_LeHardy_1_5_short_0","VASC",1.72,0.1
"Rathbone_BaconRind_1_5_long_1","MARE",4.84,0.117708333333333
"Rathbone_BaconRind_1_5_long_1","RIVI",0.12,NA
"Rathbone_BaconRind_1_5_long_1","SHCA",0.2,0.1
"Rathbone_BaconRind_1_5_long_1","SPBE",1.52,0.245263157894737
"Rathbone_BaconRind_1_5_short_0","SPBE",0.84,0.142857142857143
"Rathbone_BaconRind_1_5_short_0","VASC",0.52,0.1
"Waterfalls_Moran_1_1_long_3","LOUT",1.16,0.41551724137931
"Waterfalls_Moran_1_1_long_3","MARE",0.04,0.1
"Waterfalls_Moran_1_1_long_3","RICE",2.8,0.628571428571429
"Waterfalls_Moran_1_1_long_3","SASC",0.6,0.8
"Waterfalls_Moran_1_1_long_3","SPBE",1.36,0.241764705882353
"Waterfalls_Moran_1_1_long_3","VAME",4.52,0.324336283185841
"Waterfalls_Moran_1_1_long_3","VASC",0.08,0.2
"Waterfalls_Moran_1_1_short_0","CEVE",39.72,1.08358509566969
"Waterfalls_Moran_1_1_short_0","LOUT",1.92,0.566666666666667
"Waterfalls_Moran_1_1_short_0","SPBE",3.04,0.240723684210526
"Waterfalls_Moran_1_1_short_0","VAME",0.4,0.16
"Wilcox_Berry_1_1_long_2","LOUT",1.4,0.4
"Wilcox_Berry_1_1_long_2","MARE",0.56,0.1
"Wilcox_Berry_1_1_long_2","SPBE",6.88,0.354941860465116
"Wilcox_Berry_1_1_short_0","AMAL",2,1
"Wilcox_Berry_1_1_short_0","CEVE",0.12,0.1
"Wilcox_Berry_1_1_short_0","LOUT",0.04,0.1
"Wilcox_Berry_1_1_short_0","MARE",1.12,0.1
"Wilcox_Berry_1_1_short_0","SPBE",18.72,0.245961538461538
