"Plot_code","SF","Intersect_begin","Intersect_end","Diam_cm","Class","Position","Multi_intersect"
"Astringent_Tern_1_2_long_2","3",18.1,18.7,19.2,5,"G","N"
"Astringent_Tern_1_2_long_2","3",18.98,19.18,13.1,4,"E","N"
"Astringent_Tern_1_2_long_2","4",34.59,34.75,14.3,4,"E","N"
"Astringent_Tern_1_2_long_2","4",35.09,35.26,14.5,4,"E","N"
"Astringent_Tern_1_2_long_2","4",35.4,35.54,14.1,5,"G","N"
"Astringent_Tern_1_2_long_2","4",36.41,36.52,9.3,4,"E","N"
"Astringent_Tern_1_2_long_2","4",37.61,37.81,16.3,4,"G","N"
"Astringent_Tern_1_2_long_2","4",43.23,43.61,24.1,5,"G","N"
"Astringent_Tern_1_2_long_2","4",46.65,47,35.2,4,"G","N"
"Astringent_Tern_1_2_long_2","4",48.91,49.35,27.3,4,"E","N"
"Astringent_Tern_1_2_long_2","5",0.57,0.88,26.8,4,"G","N"
"Astringent_Tern_1_2_long_2","5",1.18,1.98,22.5,3,"E","Y"
"Astringent_Tern_1_2_long_2","5",1.18,NA,33.7,3,"E","Y"
"Astringent_Tern_1_2_long_2","5",6.3,6.73,32.5,3,"E","N"
"Astringent_Tern_1_2_long_2","5",7.17,7.39,22.8,4,"G","N"
"Astringent_Tern_1_2_long_2","5",7.64,7.94,20.8,4,"E","Y"
"Astringent_Tern_1_2_long_2","5",7.64,NA,22.6,5,"G","Y"
"Astringent_Tern_1_2_long_2","5",8.42,8.68,20,4,"E","N"
"Astringent_Tern_1_2_long_2","5",10.29,10.44,13.4,4,"E","N"
"Astringent_Tern_1_2_long_2","5",12.17,12.44,24.3,3,"G","N"
"Astringent_Tern_1_2_long_2","5",17.08,17.54,16.7,4,"G","Y"
"Astringent_Tern_1_2_long_2","5",17.08,NA,32.7,3,"E","Y"
"Astringent_Tern_1_2_long_2","5",18,18.28,26.5,4,"G","N"
"Astringent_Tern_1_2_long_2","5",19.07,19.3,20.9,4,"E","N"
"Astringent_Tern_1_2_long_2","5",19.8,20,19.1,5,"G","N"
"Astringent_Tern_1_2_short_0","1",39.17,39.36,17.3,4,"G","N"
"Astringent_Tern_1_2_short_0","1",40.77,40.99,9,5,"G","N"
"Astringent_Tern_1_2_short_0","1",41.05,41.19,11.3,4,"G","N"
"Astringent_Tern_1_2_short_0","1",41.4,42,29.3,5,"G","N"
"Astringent_Tern_1_2_short_0","1",43.89,44.45,31.9,5,"G","N"
"Astringent_Tern_1_2_short_0","2",3.05,3.64,26.4,5,"G","N"
"Astringent_Tern_1_2_short_0","2",4.65,4.89,22.3,4,"G","N"
"Astringent_Tern_1_2_short_0","2",7.81,8.25,13.4,4,"E","Y"
"Astringent_Tern_1_2_short_0","2",7.81,NA,42,4,"G","Y"
"Astringent_Tern_1_2_short_0","2",12.48,13.3,39.5,5,"G","N"
"Astringent_Tern_1_2_short_0","2",13.6,13.92,17.8,5,"G","N"
"Astringent_Tern_1_2_short_0","2",17.4,17.91,17.5,5,"G","N"
"Astringent_Tern_1_2_short_0","2",18.7,18.95,12.2,5,"G","N"
"Astringent_Tern_1_2_short_0","3",1.81,2.27,30.1,5,"G","N"
"Astringent_Tern_1_2_short_0","3",6.82,7.34,8.2,4,"G","N"
"Astringent_Tern_1_2_short_0","3",9.36,9.69,24,3,"G","N"
"Astringent_Tern_1_2_short_0","4",32.06,33.05,35,4,"G","N"
"Astringent_Tern_1_2_short_0","4",38.55,38.81,20,4,"G","N"
"Astringent_Tern_1_2_short_0","4",42.49,42.72,19.4,3,"G","N"
"Astringent_Tern_1_2_short_0","5",2.79,3.07,28.5,4,"G","N"
"Astringent_Tern_1_2_short_0","5",5.3,5.52,15.6,3,"G","N"
"Astringent_Tern_1_2_short_0","5",7.22,7.77,31.6,3,"G","N"
"Astringent_Tern_1_2_short_0","5",10.05,10.34,25.2,5,"G","N"
"Astringent_Tern_1_2_short_0","5",11.92,12.03,11.4,3,"G","N"
"Astringent_Tern_1_2_short_0","5",12.32,12.5,16.6,4,"G","N"
"Astringent_Tern_1_2_short_0","5",13.98,14.19,28.3,4,"G","N"
"Astringent_Tern_1_2_short_0","5",17.76,18.05,25.2,5,"G","N"
"Astringent_Tern_1_2_short_0","5",18.8,19.26,38.8,5,"G","N"
"Clover_Dewdrop_2_3_long_1","1",0.68,0.91,15.3,3,"E","N"
"Clover_Dewdrop_2_3_long_1","1",1.06,1.24,14.7,3,"E","N"
"Clover_Dewdrop_2_3_long_1","1",3.79,4.11,10,3,"E","Y"
"Clover_Dewdrop_2_3_long_1","1",3.79,NA,23.3,3,"G","Y"
"Clover_Dewdrop_2_3_long_1","1",6,6.25,18.7,3,"E","N"
"Clover_Dewdrop_2_3_long_1","1",8.78,9.3,33.3,3,"E","N"
"Clover_Dewdrop_2_3_long_1","2",30.65,30.86,8.6,3,"G","N"
"Clover_Dewdrop_2_3_long_1","2",38.62,38.88,21.6,5,"G","N"
"Clover_Dewdrop_2_3_long_1","3",11.15,11.4,22.9,3,"G","N"
"Clover_Dewdrop_2_3_long_1","3",18.06,18.3,15.5,3,"G","N"
"Clover_Dewdrop_2_3_long_1","4",44.49,44.69,16,3,"G","N"
"Clover_Dewdrop_2_3_long_1","5",13.38,13.69,22.5,3,"G","N"
"Clover_Dewdrop_2_3_long_1","5",19.73,19.93,18.7,3,"E","N"
"Clover_Dewdrop_2_3_short_0","1",12.12,12.7,31.3,3,"G","N"
"Clover_Dewdrop_2_3_short_0","2",31.59,32,36.9,3,"G","N"
"Clover_Dewdrop_2_3_short_0","2",32.2,32.4,17.5,4,"G","N"
"Clover_Dewdrop_2_3_short_0","2",33.24,33.4,13.5,4,"G","N"
"Clover_Dewdrop_2_3_short_0","2",35.46,35.74,25.7,3,"G","N"
"Clover_Dewdrop_2_3_short_0","2",42.44,42.69,24,3,"G","N"
"Clover_Dewdrop_2_3_short_0","2",43.47,43.73,29.1,3,"G","N"
"Clover_Dewdrop_2_3_short_0","2",47.37,48.44,39.6,3,"G","N"
"Clover_Dewdrop_2_3_short_0","3",7.26,7.55,26.4,3,"G","N"
"Clover_Dewdrop_2_3_short_0","3",10.89,11.38,15.7,3,"G","N"
"Clover_Dewdrop_2_3_short_0","4",36.6,36.9,28.1,3,"G","N"
"Clover_Dewdrop_2_3_short_0","4",39.51,39.8,30.6,3,"G","N"
"Clover_Dewdrop_2_3_short_0","4",41.2,41.68,25.5,3,"G","N"
"Clover_Dewdrop_2_3_short_0","4",42.2,42.99,11.6,5,"G","N"
"Clover_Dewdrop_2_3_short_0","5",3.4,3.88,32.1,5,"G","N"
"Clover_Dewdrop_2_3_short_0","5",4.88,5,11.3,4,"G","N"
"Clover_Dewdrop_2_3_short_0","5",7.75,8.05,25.1,4,"G","N"
"Clover_Dewdrop_2_3_short_0","5",13.58,13.75,16.4,3,"G","N"
"Clover_East_1_1_long_1","1",0,0.9,30.2,3,"E","Y"
"Clover_East_1_1_long_1","1",0,NA,20.4,5,"G","Y"
"Clover_East_1_1_long_1","1",0,NA,11.9,3,"E","Y"
"Clover_East_1_1_long_1","1",0,NA,14,3,"E","Y"
"Clover_East_1_1_long_1","1",1.34,1.59,14,5,"G","N"
"Clover_East_1_1_long_1","1",2.3,2.6,20.8,4,"G","N"
"Clover_East_1_1_long_1","1",3.61,3.84,16.1,3,"E","N"
"Clover_East_1_1_long_1","1",5.09,5.2,9.5,3,"G","N"
"Clover_East_1_1_long_1","1",5.21,5.75,17.8,3,"E","Y"
"Clover_East_1_1_long_1","1",5.21,NA,8.1,3,"E","Y"
"Clover_East_1_1_long_1","1",6.12,6.44,26.4,3,"E","N"
"Clover_East_1_1_long_1","1",7.95,8.08,10.1,3,"G","N"
"Clover_East_1_1_long_1","1",9.1,9.4,28,3,"G","N"
"Clover_East_1_1_long_1","1",10.23,10.84,19,4,"G","Y"
"Clover_East_1_1_long_1","1",10.23,NA,11.7,3,"E","Y"
"Clover_East_1_1_long_1","1",10.23,NA,23.5,3,"E","Y"
"Clover_East_1_1_long_1","1",11.19,12,13,3,"E","Y"
"Clover_East_1_1_long_1","1",11.19,NA,11.4,3,"E","Y"
"Clover_East_1_1_long_1","1",13.15,13.55,32.5,3,"E","N"
"Clover_East_1_1_long_1","1",14.44,14.7,11,3,"E","Y"
"Clover_East_1_1_long_1","1",14.44,NA,10.1,3,"G","Y"
"Clover_East_1_1_long_1","1",17,17.29,11.4,3,"G","N"
"Clover_East_1_1_long_1","1",17.58,17.86,23.4,3,"E","N"
"Clover_East_1_1_long_1","1",19.6,20,22.5,3,"E","Y"
"Clover_East_1_1_long_1","1",19.6,NA,33.1,3,"E","Y"
"Clover_East_1_1_long_1","1",19.6,NA,17.9,3,"G","Y"
"Clover_East_1_1_long_1","2",30,30.3,30,3,"E","N"
"Clover_East_1_1_long_1","2",31.44,31.78,16.6,4,"G","N"
"Clover_East_1_1_long_1","2",32.35,33,26.7,5,"G","N"
"Clover_East_1_1_long_1","2",39.35,39.7,20,3,"E","Y"
"Clover_East_1_1_long_1","2",39.35,NA,26,3,"G","Y"
"Clover_East_1_1_long_1","2",41.65,41.75,9.8,3,"G","N"
"Clover_East_1_1_long_1","2",42.04,42.22,18.2,3,"E","N"
"Clover_East_1_1_long_1","2",43.22,44.1,41.3,3,"E","Y"
"Clover_East_1_1_long_1","2",43.22,NA,21.1,4,"G","Y"
"Clover_East_1_1_long_1","2",44.53,44.64,10,3,"E","N"
"Clover_East_1_1_long_1","2",47.11,47.35,15.4,3,"E","N"
"Clover_East_1_1_long_1","3",1.14,1.39,24.8,3,"G","N"
"Clover_East_1_1_long_1","3",3.2,3.87,39.1,3,"E","Y"
"Clover_East_1_1_long_1","3",3.2,NA,19.3,5,"G","Y"
"Clover_East_1_1_long_1","3",4.3,4.69,32.2,3,"E","N"
"Clover_East_1_1_long_1","3",5.79,6.51,19.2,3,"G","Y"
"Clover_East_1_1_long_1","3",5.79,NA,11,3,"E","Y"
"Clover_East_1_1_long_1","3",7.01,8.08,23.1,3,"E","Y"
"Clover_East_1_1_long_1","3",7.01,NA,18.5,3,"G","Y"
"Clover_East_1_1_long_1","3",9.56,9.96,30,3,"E","N"
"Clover_East_1_1_long_1","3",12.62,12.81,20.4,4,"G","N"
"Clover_East_1_1_long_1","3",13.51,14.32,22.9,3,"E","N"
"Clover_East_1_1_long_1","3",14.79,15,20.8,3,"G","N"
"Clover_East_1_1_long_1","3",17.8,17.94,10.2,3,"G","N"
"Clover_East_1_1_long_1","4",31.06,32.3,39.6,3,"G","N"
"Clover_East_1_1_long_1","4",33.71,33.93,18.7,3,"E","N"
"Clover_East_1_1_long_1","4",38.48,38.64,12.6,5,"G","N"
"Clover_East_1_1_long_1","4",40.64,40.74,8.3,3,"E","N"
"Clover_East_1_1_long_1","4",45.55,45.68,10.9,3,"G","N"
"Clover_East_1_1_long_1","4",45.8,46.1,23,3,"G","N"
"Clover_East_1_1_long_1","4",47.7,48.7,23.8,3,"E","Y"
"Clover_East_1_1_long_1","4",47.7,NA,22.4,5,"G","Y"
"Clover_East_1_1_long_1","4",49.39,49.75,27.8,3,"E","N"
"Clover_East_1_1_long_1","4",49.75,50,24.3,3,"E","N"
"Clover_East_1_1_long_1","5",0.8,1.05,22.7,3,"E","N"
"Clover_East_1_1_long_1","5",2.99,3.39,29.5,3,"G","N"
"Clover_East_1_1_long_1","5",3.74,4.02,23.8,3,"E","N"
"Clover_East_1_1_long_1","5",5.85,6.14,31.8,3,"E","N"
"Clover_East_1_1_long_1","5",7.53,7.78,25.4,4,"G","Y"
"Clover_East_1_1_long_1","5",7.53,NA,12.1,3,"E","Y"
"Clover_East_1_1_long_1","5",9.95,10.21,28.4,4,"G","N"
"Clover_East_1_1_long_1","5",10.56,10.69,13,3,"E","N"
"Clover_East_1_1_long_1","5",11.78,11.99,23.1,3,"E","N"
"Clover_East_1_1_long_1","5",12.45,12.79,37.3,3,"E","N"
"Clover_East_1_1_long_1","5",13.32,14.08,21.8,3,"E","Y"
"Clover_East_1_1_long_1","5",13.32,NA,28.4,3,"E","Y"
"Clover_East_1_1_long_1","5",19.59,19.74,14.2,3,"E","N"
"Clover_East_1_1_short_0","1",0.16,0.48,25.3,4,"G","N"
"Clover_East_1_1_short_0","1",1.02,1.31,24.9,4,"G","N"
"Clover_East_1_1_short_0","1",1.6,1.86,19.8,3,"G","N"
"Clover_East_1_1_short_0","1",5.9,6.19,21.3,3,"G","N"
"Clover_East_1_1_short_0","1",6.57,6.81,20,3,"G","N"
"Clover_East_1_1_short_0","1",8.69,9.21,12.8,3,"G","N"
"Clover_East_1_1_short_0","1",10.45,10.59,12.3,3,"E","N"
"Clover_East_1_1_short_0","1",11,12.13,25,4,"G","N"
"Clover_East_1_1_short_0","1",16.74,16.97,21.4,4,"G","N"
"Clover_East_1_1_short_0","1",18.21,18.35,8.1,3,"G","N"
"Clover_East_1_1_short_0","2",33.02,33.13,9.5,3,"G","N"
"Clover_East_1_1_short_0","2",34.64,34.9,16.3,4,"E","Y"
"Clover_East_1_1_short_0","2",34.64,NA,10.2,5,"G","Y"
"Clover_East_1_1_short_0","2",35.62,35.85,21.6,4,"G","N"
"Clover_East_1_1_short_0","2",37.15,37.33,14.4,4,"G","N"
"Clover_East_1_1_short_0","2",40.55,40.69,12,3,"G","N"
"Clover_East_1_1_short_0","2",45.65,46.28,14.4,3,"E","Y"
"Clover_East_1_1_short_0","2",45.65,NA,28.3,3,"E","Y"
"Clover_East_1_1_short_0","2",45.65,NA,22.6,3,"G","Y"
"Clover_East_1_1_short_0","3",2.1,2.36,18.9,4,"G","N"
"Clover_East_1_1_short_0","3",4.2,4.89,36.8,4,"G","N"
"Clover_East_1_1_short_0","3",5.45,5.78,26.1,4,"G","N"
"Clover_East_1_1_short_0","3",7.46,7.58,9.7,4,"G","N"
"Clover_East_1_1_short_0","3",9.24,9.4,15.2,3,"G","N"
"Clover_East_1_1_short_0","3",10.7,11.59,27.7,4,"G","N"
"Clover_East_1_1_short_0","3",15.63,15.91,20.7,3,"G","N"
"Clover_East_1_1_short_0","4",37.31,37.7,11.4,3,"G","N"
"Clover_East_1_1_short_0","4",45.2,45.5,28.8,3,"G","N"
"Clover_East_1_1_short_0","5",2.11,2.25,14,3,"G","N"
"Clover_East_1_1_short_0","5",6.87,7.02,13.3,4,"G","N"
"Clover_East_1_1_short_0","5",7.69,7.8,9.5,3,"G","N"
"Clover_East_1_1_short_0","5",7.85,8.09,21.4,3,"G","N"
"Clover_East_1_1_short_0","5",9.16,9.4,12,3,"G","N"
"Clover_East_1_1_short_0","5",10.95,11.62,13.6,3,"G","N"
"Clover_East_1_1_short_0","5",12.42,12.59,11.5,4,"G","N"
"Clover_LeHardy_1_1_long_2","1",0.95,1.17,15.4,3,"E","N"
"Clover_LeHardy_1_1_long_2","1",1.73,1.94,13.7,3,"E","N"
"Clover_LeHardy_1_1_long_2","1",3.53,3.74,18.9,4,"G","N"
"Clover_LeHardy_1_1_long_2","1",7.32,7.55,22,3,"E","N"
"Clover_LeHardy_1_1_long_2","1",7.83,8.09,22.5,3,"E","N"
"Clover_LeHardy_1_1_long_2","1",8.1,8.9,11.7,3,"E","Y"
"Clover_LeHardy_1_1_long_2","1",8.1,NA,43,5,"G","Y"
"Clover_LeHardy_1_1_long_2","1",8.1,NA,16.2,3,"G","Y"
"Clover_LeHardy_1_1_long_2","1",9.64,10,18.3,3,"E","Y"
"Clover_LeHardy_1_1_long_2","1",9.64,NA,19,3,"G","Y"
"Clover_LeHardy_1_1_long_2","1",10.56,10.85,26.9,3,"E","N"
"Clover_LeHardy_1_1_long_2","1",11.19,11.55,27.4,3,"G","N"
"Clover_LeHardy_1_1_long_2","1",14.09,14.23,9.7,3,"E","N"
"Clover_LeHardy_1_1_long_2","1",19.09,19.29,7.6,4,"G","N"
"Clover_LeHardy_1_1_long_2","2",34.88,35.47,49.6,3,"G","N"
"Clover_LeHardy_1_1_long_2","2",36.58,36.71,10.2,3,"G","N"
"Clover_LeHardy_1_1_long_2","2",38.75,38.95,12.7,3,"G","N"
"Clover_LeHardy_1_1_long_2","2",46.25,46.51,21.2,3,"G","N"
"Clover_LeHardy_1_1_long_2","2",47.1,47.29,15.1,5,"G","N"
"Clover_LeHardy_1_1_long_2","3",1.91,2.18,21.5,3,"G","N"
"Clover_LeHardy_1_1_long_2","3",7.77,8.13,31.8,3,"E","N"
"Clover_LeHardy_1_1_long_2","3",19.74,20,20.5,4,"G","N"
"Clover_LeHardy_1_1_long_2","4",30,30.65,30.7,3,"G","N"
"Clover_LeHardy_1_1_long_2","4",32.97,33.15,16.7,3,"G","N"
"Clover_LeHardy_1_1_long_2","4",33.78,33.95,10.7,3,"E","N"
"Clover_LeHardy_1_1_long_2","4",35.04,35.25,8.7,3,"E","N"
"Clover_LeHardy_1_1_long_2","4",35.95,36.05,9.4,3,"E","N"
"Clover_LeHardy_1_1_long_2","4",37.35,37.55,21.6,3,"G","N"
"Clover_LeHardy_1_1_long_2","4",41.46,41.7,8.9,3,"E","N"
"Clover_LeHardy_1_1_long_2","4",45.35,45.46,10.1,3,"G","N"
"Clover_LeHardy_1_1_long_2","4",47.25,47.48,10.3,3,"E","N"
"Clover_LeHardy_1_1_long_2","5",3.17,3.32,8.6,3,"E","N"
"Clover_LeHardy_1_1_long_2","5",5.87,6.15,22.2,5,"G","N"
"Clover_LeHardy_1_1_long_2","5",13.27,13.36,8.7,3,"G","N"
"Clover_LeHardy_1_1_long_2","5",13.37,13.53,14.7,3,"E","N"
"Clover_LeHardy_1_1_long_2","5",16.62,16.75,10.9,3,"E","N"
"Clover_LeHardy_1_1_long_2","5",18.29,18.51,14.8,3,"E","N"
"Clover_LeHardy_1_1_long_2","5",18.89,19,10.1,3,"E","N"
"Clover_LeHardy_1_1_long_2","5",19.5,19.66,15,3,"E","N"
"Clover_LeHardy_1_1_short_0","1",0,0.31,28.2,5,"G","N"
"Clover_LeHardy_1_1_short_0","1",3.89,4.34,35.8,5,"G","N"
"Clover_LeHardy_1_1_short_0","1",15.85,16.14,23.9,3,"E","N"
"Clover_LeHardy_1_1_short_0","1",17.46,18.1,36,4,"G","N"
"Clover_LeHardy_1_1_short_0","1",18.15,18.36,11.4,4,"E","N"
"Clover_LeHardy_1_1_short_0","1",19.49,19.7,13.8,4,"G","N"
"Clover_LeHardy_1_1_short_0","2",31.47,32.19,24.3,3,"G","N"
"Clover_LeHardy_1_1_short_0","2",32.29,32.41,9.5,3,"E","N"
"Clover_LeHardy_1_1_short_0","2",35.43,35.55,15.3,4,"G","N"
"Clover_LeHardy_1_1_short_0","2",37.14,37.27,13,3,"G","N"
"Clover_LeHardy_1_1_short_0","2",38.05,38.24,16.7,4,"G","N"
"Clover_LeHardy_1_1_short_0","2",39.34,39.47,15.1,3,"G","N"
"Clover_LeHardy_1_1_short_0","2",39.81,39.94,12.7,4,"G","N"
"Clover_LeHardy_1_1_short_0","2",42.83,42.98,12.3,4,"G","N"
"Clover_LeHardy_1_1_short_0","2",45.08,45.27,18.1,3,"E","N"
"Clover_LeHardy_1_1_short_0","2",47.43,47.54,9.2,3,"E","N"
"Clover_LeHardy_1_1_short_0","2",48.18,48.45,28.3,3,"G","N"
"Clover_LeHardy_1_1_short_0","2",48.71,48.89,15.3,3,"E","N"
"Clover_LeHardy_1_1_short_0","3",0.42,0.55,11.5,3,"G","N"
"Clover_LeHardy_1_1_short_0","3",3.56,3.78,20.4,3,"G","N"
"Clover_LeHardy_1_1_short_0","3",5.4,5.64,20.6,3,"G","N"
"Clover_LeHardy_1_1_short_0","3",8.63,8.84,19.6,3,"G","N"
"Clover_LeHardy_1_1_short_0","3",9.19,9.5,28.5,3,"G","N"
"Clover_LeHardy_1_1_short_0","3",11.09,11.17,9.1,3,"G","N"
"Clover_LeHardy_1_1_short_0","3",13.06,13.3,19.7,5,"G","N"
"Clover_LeHardy_1_1_short_0","3",14.58,15.91,12.9,3,"E","Y"
"Clover_LeHardy_1_1_short_0","3",14.58,NA,26.5,4,"G","Y"
"Clover_LeHardy_1_1_short_0","3",18.62,18.74,10.5,4,"G","N"
"Clover_LeHardy_1_1_short_0","3",19.8,19.99,14.9,3,"E","N"
"Clover_LeHardy_1_1_short_0","4",30.48,30.61,13.4,4,"G","N"
"Clover_LeHardy_1_1_short_0","4",32.21,32.3,8.6,3,"E","N"
"Clover_LeHardy_1_1_short_0","4",32.72,33.02,21.6,3,"G","N"
"Clover_LeHardy_1_1_short_0","4",33.7,33.92,15.6,5,"G","N"
"Clover_LeHardy_1_1_short_0","4",38.59,38.99,28.5,4,"G","N"
"Clover_LeHardy_1_1_short_0","4",43.85,44.27,38.4,3,"E","N"
"Clover_LeHardy_1_1_short_0","4",45.79,45.92,12,3,"E","N"
"Clover_LeHardy_1_1_short_0","4",47.05,47.18,11.4,3,"G","N"
"Clover_LeHardy_1_1_short_0","4",48.13,48.24,9.7,3,"E","N"
"Clover_LeHardy_1_1_short_0","4",48.39,48.65,16.2,3,"G","N"
"Clover_LeHardy_1_1_short_0","4",48.73,48.94,18.3,3,"E","N"
"Clover_LeHardy_1_1_short_0","4",49.17,49.45,10.6,3,"E","Y"
"Clover_LeHardy_1_1_short_0","4",49.17,NA,18.3,3,"G","Y"
"Clover_LeHardy_1_1_short_0","5",30.31,30.45,13.2,3,"E","N"
"Clover_LeHardy_1_1_short_0","5",44.82,45,16.6,4,"G","N"
"Clover_LeHardy_1_1_short_0","5",45,45.14,12.9,3,"G","N"
"Clover_LeHardy_1_1_short_0","5",45.76,46.13,36,3,"G","N"
"Clover_LeHardy_1_1_short_0","5",46.95,47.31,15.7,3,"G","N"
"Clover_LeHardy_1_1_short_0","5",49.5,49.73,17.3,3,"G","N"
"Glade_Berry_1_1_long_2","1",8.27,8.48,22.4,3,"G","N"
"Glade_Berry_1_1_long_2","1",17.45,17.71,15.8,3,"G","N"
"Glade_Berry_1_1_long_2","2",46.69,47.03,19.9,5,"G","N"
"Glade_Berry_1_1_long_2","2",47.52,47.67,15.1,5,"G","N"
"Glade_Berry_1_1_long_2","3",6.49,6.7,9.8,3,"E","N"
"Glade_Berry_1_1_long_2","3",12.42,12.59,16.2,3,"G","N"
"Glade_Berry_1_1_long_2","4",30.14,30.24,9.8,3,"E","N"
"Glade_Berry_1_1_long_2","4",34.52,34.69,12.4,3,"G","N"
"Glade_Berry_1_1_long_2","4",38.73,39.03,26.1,5,"G","N"
"Glade_Berry_1_1_long_2","4",40.93,41.19,24.5,5,"G","N"
"Glade_Berry_1_1_long_2","4",43.41,43.69,19.6,3,"E","N"
"Glade_Berry_1_1_long_2","4",44.01,44.27,22.3,3,"G","N"
"Glade_Berry_1_1_long_2","5",1.95,2.23,19.7,3,"G","N"
"Glade_Berry_1_1_long_2","5",9.07,9.29,18.7,3,"G","N"
"Glade_Berry_1_1_long_2","5",13.97,14.21,22.7,5,"G","N"
"Glade_Berry_1_1_long_2","5",14.34,14.54,18.2,3,"E","N"
"Glade_Berry_1_1_long_2","5",16.91,17.1,15.2,5,"G","N"
"Glade_Berry_1_1_short_0","1",0.73,1.2,16.6,3,"G","N"
"Glade_Berry_1_1_short_0","1",2.64,2.76,11.3,5,"G","N"
"Glade_Berry_1_1_short_0","1",4.72,4.89,13.7,3,"G","N"
"Glade_Berry_1_1_short_0","1",6.29,6.47,15.9,4,"E","N"
"Glade_Berry_1_1_short_0","1",18.93,19.05,20.1,3,"G","N"
"Glade_Berry_1_1_short_0","2",37.65,38.65,12.2,5,"G","N"
"Glade_Berry_1_1_short_0","3",0.21,0.75,24.4,3,"G","N"
"Glade_Berry_1_1_short_0","3",1.81,2.16,18.4,3,"E","N"
"Glade_Berry_1_1_short_0","3",8.87,9.08,22.1,3,"E","N"
"Glade_Berry_1_1_short_0","3",9.4,9.56,15.7,3,"G","N"
"Glade_Berry_1_1_short_0","3",18.01,18.15,10.7,5,"G","N"
"Glade_Berry_1_1_short_0","4",41.36,41.62,14.2,3,"G","N"
"Glade_Berry_4_4_long_2","1",2.82,2.95,11.4,3,"G","N"
"Glade_Berry_4_4_long_2","2",32.78,32.91,11.8,3,"G","N"
"Glade_Berry_4_4_long_2","2",34.06,34.17,10.6,3,"G","N"
"Glade_Berry_4_4_long_2","2",49.22,49.43,16.7,5,"G","N"
"Glade_Berry_4_4_long_2","3",2.74,2.86,10.6,3,"E","N"
